,Numero de Armónico,E.C.M.,ECM%
0,1,1.9763092093271442,64.2762933813538
1,2,1.932768348019068,62.86019656699571
2,3,0.9823491454457174,31.94933342292547
3,4,0.9797659067456904,31.865317719424528
4,5,0.9754331138212473,31.724400565439815
5,6,0.9732969619172509,31.654925644288607
6,7,0.911775739063563,29.654046353405988
7,8,0.8889339871153855,28.911154936093297
8,9,0.8781384499138356,28.560047369978992
9,10,0.874408535458606,28.438737873124843
10,11,0.8676370673543926,28.21850671272
11,12,0.8654947890060931,28.148832538774972
12,13,0.865261803983902,28.141255073887823
13,14,0.8650045435875341,28.132888091315305
14,15,0.8645800971869115,28.119083651583754
15,16,0.8644204938579454,28.113892808800216
16,17,0.8635401586645289,28.085261315864336
17,18,0.8633846571107345,28.08020387675219
18,19,0.8632235309829013,28.07496350737318
19,20,0.8630873182189668,28.070533405273967
